Vacancy,Salary_min,Salary_max,Currency,Vac_link,Source,Employee,Area
Junior Analyst / Младший аналитик (удаленная работа),40000.0,,руб.,https://superjob.ru/vakansii/junior-analyst-38816322.html,superjob.ru,Global Personal,Санкт-Петербург
Golang (Go) Developer в международную IT-компанию,,230000.0,руб.,https://superjob.ru/vakansii/golang-38910091.html,superjob.ru,Оксана Швецова,Москва
"Преподаватель it-курсов, программирования, информатики",,140000.0,руб.,https://superjob.ru/vakansii/prepodavatel-it-kursov-38910587.html,superjob.ru,ЧУ ДО Московская школа программистов,Санкт-Петербург
Frontend программист,,,,https://superjob.ru/vakansii/frontend-programmist-38815405.html,superjob.ru,Гео Техно Сот,Москва
"Аналитик поддержки приложений (ERP, CRM)",,,,https://superjob.ru/vakansii/analitik-podderzhki-prilozhenij-39176303.html,superjob.ru,ГлавДоставка,Москва
Преподаватель компьютерных курсов для детей,35000.0,40000.0,руб.,https://superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-dlya-detej-39039245.html,superjob.ru,Алгоритмика,Серпухов
Инженер BMS/АСУЗ,,,,https://superjob.ru/vakansii/inzhener-bms-33546498.html,superjob.ru,СПЕЦВИДЕОПРОЕКТ,Москва
Ведущий системный администратор (DevOps),,150000.0,руб.,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-39273620.html,superjob.ru,Препейд Солюшенс,Москва
Системный инженер / DevOps (удаленная работа),120000.0,,руб.,https://superjob.ru/vakansii/sistemnyj-inzhener-39014091.html,superjob.ru,Кадровое агентство H-VAN,Москва
Ведущий программист С++,170000.0,200000.0,руб.,https://superjob.ru/vakansii/veduschij-programmist-s-39274370.html,superjob.ru,Смартико,Москва
Педагог дополнительного образования в сфере IT,,,,https://superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-v-sfere-it-38107002.html,superjob.ru,ГБОУ Школа № 120 Выборгского района,Санкт-Петербург
Аналитик (Junior),25000.0,,руб.,https://superjob.ru/vakansii/analitik-39034771.html,superjob.ru,Докзилла,Волгоград
Программист,,,,https://superjob.ru/vakansii/programmist-38904557.html,superjob.ru,Спорт-Скат,Казань
Python Middle Developer,200000.0,240000.0,руб.,https://hh.ru/vacancy/48326313,hh.ru,datacorp,Санкт-Петербург
Python Developer (Backend),190000.0,,руб.,https://hh.ru/vacancy/48336337,hh.ru,KVINT,Санкт-Петербург
Senior Python developer,4000.0,6000.0,USD,https://hh.ru/vacancy/48297901,hh.ru,TeamDirector,Москва
Python-разработчик,,,,https://hh.ru/vacancy/47967656,hh.ru,Сбер. IT,Москва
Senior Python developer,4000.0,6000.0,USD,https://hh.ru/vacancy/48297902,hh.ru,TeamDirector,Киев
Python developer,,,,https://hh.ru/vacancy/48331830,hh.ru,ООО РЕСИЛИО БЛР,Минск
Data engineer (аналитик данных),,,,https://hh.ru/vacancy/48272904,hh.ru,Сбер для экспертов,Екатеринбург
Team Lead Python Engineer,,8000.0,USD,https://hh.ru/vacancy/48251626,hh.ru,КА Натальи Зотовой,Москва
Разработчик Python (средний уровень),3000.0,4000.0,USD,https://hh.ru/vacancy/47612111,hh.ru,Ergeon,Санкт-Петербург
Middle Python developer,,,,https://hh.ru/vacancy/48217396,hh.ru,IBA Group,Минск
Python разработчик,,380000.0,руб.,https://hh.ru/vacancy/47682360,hh.ru,Точка,Москва
Разработчик Python (Junior),,,,https://hh.ru/vacancy/48361728,hh.ru,"ХОСТ, Группа компаний",Москва
Junior Python developer,30000.0,70000.0,руб.,https://hh.ru/vacancy/48361866,hh.ru,Bcraft,Казань
Стажер разработчик Python,20000.0,50000.0,руб.,https://hh.ru/vacancy/47861001,hh.ru,ООО Аналитические программные решения,Москва
